year,region,atc,gender,age_group,num_prescriptions,num_patients,per_1000,narcotic_class
2007,10,N05CC01,2,8,0,0,0,V
2007,10,N06AX27,2,16,0,0,0,IV
2007,10,N06AX27,3,7,0,0,0,IV
2007,10,N06BA12,3,9,0,0,0,II
2007,10,N06BA12,3,7,0,0,0,II
2007,10,N07BC01,2,9,0,0,0,IV
2007,10,N07BC02,3,3,0,0,0,II
2007,10,N07BC05,2,5,0,0,0,II
2007,12,A04AD10,2,8,0,0,0,II
2007,12,A07DA02,1,9,0,0,0,II
2007,12,N01AH03,3,3,0,0,0,II
2007,12,N01AH51,2,18,0,0,0,II
2007,12,N02AJ06,1,8,1494,663,"36,01",III
2007,12,N02AJ08,3,11,436,134,"5,92",III
2007,12,N02AX01,2,12,0,0,0,II
2007,12,N02AX02,2,2,0,0,0,III
2007,12,N02BF02,1,8,509,129,"12,27",V
2007,12,N02CA72,3,3,14,10,"0,19",IV
2007,12,N03AA02,1,11,293,16,"7,92",IV
2007,12,N03AX24,1,17,0,0,0,II
2007,12,N05BA08,3,15,0,0,0,IV
2007,12,N05CD08,3,7,1,1,"0,01",IV
2007,12,N05CF01,3,5,1377,523,"18,72",V
2007,12,N06BA12,2,5,0,0,0,II
2007,12,N07BC02,1,6,503,22,"13,12",II
2007,12,N07BC05,2,13,0,0,0,II
2007,12,N07BC51,2,12,0,0,0,IV
2007,12,R05DA04,1,15,47,18,"2,21",III
2007,13,N02AA01,3,11,57,18,"3,09",II
2007,13,N02AA03,3,1,0,0,0,II
2007,13,N02AG01,1,16,14,13,"3,09",II
2007,13,N02AJ08,1,1,0,0,0,III
2007,13,N02AX01,3,8,0,0,0,II
2007,13,N02AX02,2,18,3993,623,"803,58",III
2007,13,N02AX02,1,8,788,269,"79,68",III
2007,13,N02BG10,2,16,0,0,0,II
2007,13,N05BA02,3,12,0,0,0,IV
2007,13,N05BA02,2,1,0,0,0,IV
2007,13,N05BA05,1,1,0,0,0,IV
2007,13,N05BA05,1,4,0,0,0,IV
2007,13,N05BA12,1,5,41,8,"4,89",IV
2007,13,N05BA12,2,14,403,59,"55,82",IV
2007,13,N05CD05,1,3,0,0,0,IV
2007,13,N06BA01,3,13,44,10,"2,24",II
2007,13,N06BA04,1,9,98,13,"9,36",II
2007,13,N07BC01,1,1,0,0,0,IV
2007,13,R05DA04,3,18,34,5,"4,44",III
2007,13,R05FA02,1,1,108,100,"12,38",III
2007,14,A07DA01,1,2,0,0,0,II
2007,14,M03BA02,3,12,1737,260,"17,19",IV
2007,14,N01AF01,2,10,0,0,0,V
2007,14,N01AX03,3,7,0,0,0,IV
2007,14,N02AA55,1,11,0,0,0,II
2007,14,N02AD01,3,7,0,0,0,III
2007,14,N02AG04,3,6,0,0,0,II
2007,14,N02AJ06,1,12,5189,1400,"102,08",III
2007,14,N02AJ08,1,14,153,40,"4,43",III
2007,14,N02AX01,1,2,0,0,0,II
2007,14,N02BG10,3,6,0,0,0,II
2007,14,N02CA72,3,5,20,19,"0,21",IV
2007,14,N03AA02,2,1,90,28,"2,15",IV
2007,14,N03AE01,3,99,19828,1496,"12,89",IV
2007,14,N03AX24,2,14,0,0,0,II
2007,14,N05BA02,1,7,0,0,0,IV
2007,14,N05BC01,3,12,0,0,0,IV
2007,14,N07BC01,2,15,0,0,0,IV
2007,14,R05DA09,2,4,0,0,0,V
